"id","account_id","name","area","columns","saved_search","sort_by","sort_direction","note","created_at","updated_at","settings"
"1864503","48210","Tanks","tanks","[""name"", ""location"", ""comments""]","","display_as","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""12""}"
"1864506","48210","Treatments","treatments","[""treatment_date"", ""animal_ear_tag"", ""category"", ""medication"", ""diagnosis"", ""route"", ""location""]","{""treatment_date_gteq""=>""2014-09-30"", ""s""=>""treatment_date asc""}","treatment_date","asc","","2013-11-11 09:05:00 -0600","2015-10-05 19:14:20 -0500","{""font_size""=>""12""}"
"1864509","48210","Weaning","weaning","[""animal_ear_tag"", ""measure_date"", ""weight"", ""adjusted_weight"", ""adg"", ""wda"", ""animal_sire_ear_tag"", ""animal_dam_ear_tag"", ""animal_conception_method""]","{""animal_status_eq""=>""Active"", ""animal_sex_eq""=>""Bull"", ""s""=>""wda desc""}","wda","desc","","2013-11-11 09:05:00 -0600","2016-11-20 11:19:32 -0600","{""font_size""=>""12""}"
"1864512","48210","Yearling","yearling","[""animal_ear_tag"", ""category"", ""measure_date"", ""weight"", ""adjusted_weight""]","{""animal_status_eq""=>""Active"", ""animal_sex_eq""=>""Bull"", ""s""=>""adjusted_weight desc""}","adjusted_weight","desc","","2013-11-11 09:05:00 -0600","2016-02-10 17:30:48 -0600","{""font_size""=>""12""}"
"2240474","48210","Heifer Report","calves","[""ear_tag"", ""age_in_months"", ""category_id"", ""breed_id"", ""pasture_id""]","{""sex_eq""=>""Heifer"", ""s""=>""category_id asc""}","category_id","asc","","2014-06-30 17:47:50 -0500","2015-12-11 15:25:19 -0600","{""font_size""=>""12""}"
"2255729","48210","Open ","pregnancy_checks","[""animal_ear_tag"", ""animal_current_breeding_status"", ""animal_current_breeding_status"", ""check_date"", ""check_method"", ""time_pregnant"", ""expected_due_date""]","{""check_date_gteq""=>""2015-10-22"", ""check_date_lteq""=>""2015-10-23"", ""check_method_eq""=>""Ultrasound"", ""result_eq""=>""Open""}","animal_ear_tag","asc","","2014-07-18 11:02:49 -0500","2016-04-22 07:30:33 -0500","{""font_size""=>""12""}"
"2260217","48210","Color Coat DNA","animals","[""ear_tag"", ""dam_ear_tag"", ""sex"", ""pasture_id"", ""adj_weaning_weight"", ""age_in_days"", ""custom_fields""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Calf"", ""groupings_group_id_eq""=>""631971""}","adj_weaning_weight","desc","","2014-07-21 21:54:09 -0500","2015-07-17 18:49:49 -0500","{""font_size""=>""12""}"
"2427591","48210","Open BB ","pregnancy_checks","[""check_date"", ""check_method"", ""result"", ""time_pregnant"", ""expected_due_date"", ""animal_ear_tag""]","{""result_eq""=>""Open"", ""animal_status_eq""=>""Active"", ""animal_groupings_group_id_eq""=>""805794""}","animal_ear_tag","asc","","2014-11-18 15:27:18 -0600","2014-12-01 14:06:11 -0600","{""font_size""=>""12""}"
"2430474","48210","export_breeding","breedings","[""animal_ear_tag"", ""animal_current_breeding_status"", ""animal_current_breeding_status"", ""animal_last_breeding_date"", ""animal_last_calving_date"", ""breeding_method"", ""breeding_date"", ""breeding_end_date"", ""days_exposed"", ""estimated_calving_date"", ""embryo_mating"", ""sire_ear_tag""]","{}","estimated_calving_date","asc","","2014-11-19 19:55:11 -0600","2015-10-26 09:02:32 -0500","{""font_size""=>""12""}"
"3019320","48210","Nov 16 Charolais Purchase","calves","[""ear_tag"", ""electronic_id"", ""age_in_months"", ""birth_date"", ""birth_weight"", ""weaning_date"", ""weaning_weight"", ""yearling_date"", ""yearling_weight"", ""custom_fields""]","{}","ear_tag","asc","","2015-11-23 13:33:54 -0600","2017-02-12 10:48:22 -0600","{""font_size""=>""12""}"
"3046929","48210","Tru-Test","animals","[""ear_tag"", ""brand"", ""electronic_id"", ""sex"", ""color_markings"", ""current_breeding_status"", ""age_in_years""]","{""status_eq""=>""Active""}","ear_tag","asc","","2015-12-08 15:26:45 -0600","2015-12-08 15:30:15 -0600","{""font_size""=>""12""}"
"3518232","48210","WEANED CALVES FOR SALE 2016","calves","[""ear_tag"", ""birth_date"", ""sex"", ""breed_id"", ""last_weight"", ""horn_status"", ""color_markings"", ""age_in_months"", ""pasture_id""]","{""pasture_id_eq""=>""462126""}","ear_tag","asc","","2016-11-04 16:52:26 -0500","2016-11-09 17:34:11 -0600","{""font_size""=>""12""}"
"3545331","48210","2016-Bull-Calves","measurements","[""animal_ear_tag"", ""category"", ""measure_date"", ""weight"", ""animal_adj_weaning_weight""]","{""category_eq""=>""Weaning"", ""animal_status_eq""=>""Active"", ""animal_groupings_group_id_eq""=>""1172811""}","weight","asc","","2016-11-20 11:32:05 -0600","2016-11-20 11:47:57 -0600","{""font_size""=>""12""}"
"3546825","48210","2016-Calf-Gains","measurements","[""animal_ear_tag"", ""animal_sex"", ""animal_horn_status"", ""animal_age_in_days"", ""weight"", ""adg"", ""wda"", ""animal_sire_ear_tag"", ""animal_genetic_dam_ear_tag"", ""animal_dam_ear_tag""]","{""measure_date_gteq""=>""2016-11-19"", ""measure_date_lteq""=>""2016-11-21"", ""animal_pasture_id_eq""=>""462126"", ""s""=>""adg desc""}","adg","desc","","2016-11-20 18:01:05 -0600","2016-11-20 21:46:14 -0600","{""font_size""=>""12""}"
"3602037","48210","Overall Bull","measurements","[""animal_ear_tag"", ""measure_date"", ""weight"", ""animal_adj_yearling_weight""]","{""category_eq""=>""Yearling"", ""animal_groupings_group_id_eq""=>""1190511""}","animal_adj_yearling_weight","desc","","2016-12-23 07:44:02 -0600","2016-12-23 07:54:02 -0600","{""font_size""=>""12""}"
"3700635","48210","Charolais Calves","calves","[""ear_tag"", ""sex"", ""birth_date"", ""age_in_months"", ""birth_weight"", ""dam_ear_tag"", ""sire_ear_tag"", ""breed_composition""]","{""status_eq""=>""Active"", ""birth_date_gteq""=>""2016-07-01"", ""groupings_group_id_eq""=>""734659""}","ear_tag","asc","","2017-02-10 10:11:21 -0600","2017-09-19 06:36:52 -0500","{""font_size""=>""12""}"
"3817386","48210","Purple Tags (RAMROS)","cows","[""ear_tag"", ""reg_num""]","{""groupings_group_id_eq""=>""1256172""}","ear_tag","asc","","2017-04-18 17:41:42 -0500","2017-04-26 08:22:42 -0500","{""font_size""=>""12""}"
"4000743","48210","Charolais Cows","animals","[""ear_tag"", ""animal_type"", ""category_id"", ""pasture_id"", ""birth_date"", ""breed_id"", ""color_markings""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Cow"", ""groupings_group_id_eq""=>""734659""}","ear_tag","asc","","2017-09-19 06:39:34 -0500","2017-09-19 06:39:55 -0500","{""font_size""=>""12""}"
"4931301","48210","G Calves","calves","[""ear_tag"", ""sex"", ""birth_date"", ""breed_id"", ""dam_ear_tag""]","{""status_eq""=>"""", ""sex_eq""=>"""", ""birth_date_gteq""=>nil, ""birth_date_lteq""=>nil, ""pasture_id_eq""=>"""", ""category_id_eq""=>"""", ""groupings_group_id_eq""=>"""", ""weaning_date_not_null""=>"""", ""weaning_date_null""=>""""}","ear_tag","desc","","2019-04-17 11:20:50 -0500","2019-04-17 11:21:56 -0500","{""font_size""=>""12""}"
